date,forecast,lower_95,upper_95,region
2026-04-01,72355.09530992986,56676.35131265921,92371.15121311082,Iringa
2026-05-01,72328.44385143643,49535.37185867395,105609.45832597683,Iringa
2026-06-01,72323.53726675449,44688.34577405966,117048.28075806506,Iringa
