date,forecast,lower_95,upper_95,region
2026-04-01,67594.63476229075,51679.97941274477,88410.14838950802,Mbeya
2026-05-01,67097.83410123544,45901.35357238899,98082.49628144015,Mbeya
2026-06-01,65973.77819595576,41441.1440591675,105029.42204575337,Mbeya
